,filepath,x_centroid,y_centroid,x_min,y_min,x_max,y_max,detection_confidence
0,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.5,1745.0,939,1406,1420,2084,0.8442593
1,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1183.0,1748.0,941,1405,1425,2091,0.84285265
2,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1182.0,1748.0,941,1406,1423,2090,0.8409574
3,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1182.0,1748.5,941,1407,1423,2090,0.8406223
4,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.0,1745.5,938,1408,1420,2083,0.84211
5,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.0,1745.0,939,1408,1419,2082,0.8405142
6,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1178.5,1746.0,939,1409,1418,2083,0.84228
7,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1178.5,1745.5,939,1408,1418,2083,0.849319
8,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.5,1746.5,940,1410,1419,2083,0.8439891
9,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.5,1745.5,939,1408,1420,2083,0.8455239
10,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.0,1745.5,940,1408,1418,2083,0.843509
11,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.0,1746.0,940,1408,1418,2084,0.8430401
12,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.0,1745.5,940,1407,1418,2084,0.84595394
13,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.5,1746.5,940,1410,1419,2083,0.8432853
14,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.0,1746.0,940,1409,1418,2083,0.8448647
15,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1182.5,1747.5,942,1406,1423,2089,0.84253544
16,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1183.0,1748.0,942,1406,1424,2090,0.8469666
17,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1178.5,1746.0,938,1409,1419,2083,0.84400874
18,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1182.5,1746.5,941,1404,1424,2089,0.84663665
19,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.0,1745.5,939,1408,1419,2083,0.8473946
20,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.0,1745.5,939,1408,1419,2083,0.84685683
21,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1178.5,1745.5,939,1408,1418,2083,0.8478055
22,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1178.0,1745.5,939,1409,1417,2082,0.8427126
23,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1178.5,1745.5,939,1408,1418,2083,0.8435683
24,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1178.5,1745.5,940,1409,1417,2082,0.8441923
25,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.0,1745.5,940,1409,1418,2082,0.8415555
26,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.5,1746.5,941,1410,1418,2083,0.8399803
27,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1178.0,1746.0,939,1408,1417,2084,0.8411168
28,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1179.0,1746.5,940,1410,1418,2083,0.84355974
29,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1182.5,1747.0,942,1405,1423,2089,0.8396341
30,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1182.0,1746.5,942,1405,1422,2088,0.84296733
31,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1182.5,1746.5,942,1405,1423,2088,0.8426985
32,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1183.0,1747.5,942,1405,1424,2090,0.84335816
33,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1180.0,1745.5,940,1408,1420,2083,0.84552747
34,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1180.5,1745.0,940,1407,1421,2083,0.84642273
35,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1181.5,1745.5,941,1408,1422,2083,0.84801805
36,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1181.5,1745.5,941,1407,1422,2084,0.84292954
37,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1181.5,1746.0,941,1409,1422,2083,0.8453643
38,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1181.5,1746.0,941,1408,1422,2084,0.84605396
39,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1181.5,1746.5,941,1410,1422,2083,0.8451104
40,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1181.5,1746.0,940,1410,1423,2082,0.8478316
41,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1182.0,1746.0,941,1410,1423,2082,0.85124385
42,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1181.5,1746.0,940,1410,1423,2082,0.8494025
43,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1182.5,1746.5,941,1410,1424,2083,0.8488871
44,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1181.5,1746.0,940,1409,1423,2083,0.8473944
45,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_tmax/cam1_2026-04-08_16-51-20.mp4,1181.5,1745.5,940,1408,1423,2083,0.85184157
