,filepath,x_centroid,y_centroid,x_min,y_min,x_max,y_max,detection_confidence
0,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2216.5,2474.5,1815,2220,2618,2729,0.8109822
1,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2220.0,2471.5,1822,2214,2618,2729,0.8093783
2,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2232.0,2477.5,1834,2214,2630,2741,0.7814522
3,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2252.0,2475.5,1819,2209,2685,2742,0.7793022
4,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2220.5,2471.0,1818,2206,2623,2736,0.7928051
5,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2206.0,2463.5,1807,2202,2605,2725,0.7695561
6,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2197.0,2439.0,1803,2172,2591,2706,0.7934181
7,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2188.5,2436.5,1799,2168,2578,2705,0.79466224
8,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2178.5,2449.5,1797,2187,2560,2712,0.53249544
9,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2217.0,2469.0,1791,2219,2643,2719,0.6215162
10,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2189.0,2460.0,1787,2215,2591,2705,0.6124317
11,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2192.0,2441.5,1803,2174,2581,2709,0.78846276
12,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_7/cont_sub_7/bee_0409_exp_7_opto_2026-04-09_13-07-56_arena_shade.mp4,2193.0,2454.0,1807,2197,2579,2711,0.69473195
