,filepath,x_centroid,y_centroid,x_min,y_min,x_max,y_max,detection_confidence
0,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2781.5,1646.0,2410,1393,3153,1899,0.63901734
1,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2791.5,1626.5,2382,1343,3201,1910,0.5366115
2,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2786.5,1645.0,2412,1385,3161,1905,0.6408722
3,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2794.5,1643.5,2431,1391,3158,1896,0.55308497
4,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2788.5,1647.0,2415,1385,3162,1909,0.635355
5,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2792.0,1626.0,2381,1344,3203,1908,0.5263597
6,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2797.0,1641.0,2434,1388,3160,1894,0.6054385
7,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2801.5,1625.5,2397,1343,3206,1908,0.52831703
8,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2792.0,1648.5,2421,1384,3163,1913,0.5860883
9,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2791.0,1647.0,2423,1385,3159,1909,0.598994
10,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2785.5,1650.5,2409,1385,3162,1916,0.5985392
11,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2771.5,1649.0,2378,1393,3165,1905,0.75482947
12,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2819.0,1691.5,2473,1409,3165,1974,0.68014324
13,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2782.5,1722.5,2396,1502,3169,1943,0.53449154
14,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2800.5,1650.0,2419,1385,3182,1915,0.7466319
15,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2799.5,1625.5,2395,1345,3204,1906,0.5637188
16,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2798.0,1643.0,2435,1388,3161,1898,0.57720333
17,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2794.5,1648.5,2400,1386,3189,1911,0.7402476
18,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2817.5,1625.5,2421,1344,3214,1907,0.6613143
19,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2797.5,1643.5,2433,1387,3162,1900,0.5336423
20,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2796.5,1643.0,2434,1386,3159,1900,0.6053443
21,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2817.0,1621.5,2428,1330,3206,1913,0.5932318
22,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-31-45_fwd_arena_opto.mp4,2752.0,1692.5,2345,1479,3159,1906,0.50443625
23,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1529.0,668.0,1247,312,1811,1024,0.7569854
24,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1471.0,770.0,1198,438,1744,1102,0.8025941
25,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1495.5,742.5,1206,409,1785,1076,0.71454906
26,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1415.0,746.5,1202,426,1628,1067,0.60842687
27,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1387.5,750.0,1153,431,1622,1069,0.7474259
28,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1486.5,881.5,1084,424,1889,1339,0.7193301
29,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1496.5,748.5,1122,426,1871,1071,0.6956645
30,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1370.0,754.0,1128,433,1612,1075,0.75724584
31,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1466.5,894.5,1043,420,1890,1369,0.7369617
32,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1473.5,755.5,1070,428,1877,1083,0.73296
33,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1366.5,754.0,1127,434,1606,1074,0.76453024
34,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1469.0,895.0,1052,423,1886,1367,0.74882174
35,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1476.5,763.0,1075,433,1878,1093,0.73521286
36,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1370.0,754.0,1136,433,1604,1075,0.77576673
37,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1470.0,890.5,1055,415,1885,1366,0.73537976
38,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1468.5,760.0,1041,422,1896,1098,0.7255396
39,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1370.5,751.5,1139,433,1602,1070,0.7793423
40,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1471.0,874.0,1055,413,1887,1335,0.7336812
41,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1480.5,745.5,1091,421,1870,1070,0.72375363
42,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1478.5,893.0,1070,415,1887,1371,0.7270036
43,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1383.0,668.0,1159,432,1607,904,0.6850452
44,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1487.0,750.0,1122,418,1852,1082,0.6810688
45,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1506.5,881.0,1127,414,1886,1348,0.7223446
46,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1382.5,622.0,1156,429,1609,815,0.5738699
47,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1476.5,883.5,1068,403,1885,1364,0.71453613
48,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1384.0,659.5,1164,425,1604,894,0.6319085
49,/Volumes/SmithL0/2026/BIOL470/Final/0410_pull/bee_0409_exp_8/bee_0409_exp_8_opto_2026-04-09_20-36-49_arena_shade.mp4,1502.0,886.5,1117,413,1887,1360,0.68396723
