,filepath,x_centroid,y_centroid,x_min,y_min,x_max,y_max,detection_confidence
0,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2647.5,1783.5,2187,1467,3108,2100,0.8606367
1,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2710.5,1790.5,2230,1479,3191,2102,0.80603147
2,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2605.5,1737.0,2144,1405,3067,2069,0.8713012
3,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2608.0,1750.0,2122,1450,3094,2050,0.92164177
4,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2598.0,1745.0,2122,1407,3074,2083,0.8965119
5,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2638.5,1767.0,2176,1439,3101,2095,0.90609664
6,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2653.5,1770.5,2178,1421,3129,2120,0.90786314
7,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2607.5,1723.0,2175,1377,3040,2069,0.85702074
8,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2598.5,1768.0,2123,1331,3074,2205,0.76765406
9,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2633.5,1779.0,2196,1433,3071,2125,0.88551533
10,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2535.0,1756.0,2034,1376,3036,2136,0.860947
11,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2567.0,1765.5,2138,1449,2996,2082,0.8533058
12,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2533.0,1825.5,2064,1439,3002,2212,0.8580682
13,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2533.0,1892.5,2094,1546,2972,2239,0.8905995
14,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2519.5,1872.0,2101,1471,2938,2273,0.8715667
15,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2550.5,1918.0,2128,1577,2973,2259,0.83795637
16,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2484.0,1932.5,2050,1570,2918,2295,0.87754273
17,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_02/sub_2/bee_0415_exp_02_opto_2026-04-15_21-30-00_arena_shade.mp4,2498.5,2018.5,2083,1698,2914,2339,0.8520214
